city_name,date,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,wind_gusts,precipitation,cloud_cover,weather_code,visibility,is_day,collection_time,current_time,daily_temp_max,daily_temp_min,daily_precipitation,daily_weather_code,federal_district,timezone,population,tourism_season,comfort_index,weather_description,recommended_activity,tourist_season_match,uv_index_risk,precipitation_type
Екатеринбург,2026-02-27,56.8389,60.6057,-17.3,-22.2,77.2,1038.2,7.1,120.0,19.0,6.0,,71,13157.5,,2026-03-01 12:23:40,2026-02-27,-13.8,-19.5,1.2,71,Уральский,UTC+5,1500000,Май-Сентябрь,30,Снег слабый,Музеи и закрытые развлечения,False,Высокий,Снег
Екатеринбург,2026-02-28,56.8389,60.6057,-18.0,-22.8,70.5,1035.1,6.2,120.0,15.7,0.0,,3,25824.2,,2026-03-01 12:23:40,2026-02-28,-13.7,-21.6,0.0,3,Уральский,UTC+5,1500000,Май-Сентябрь,35,Облачно,Домашний отдых,False,Низкий,Снег
Екатеринбург,2026-03-01,56.8389,60.6057,-17.22,-22.42,77.05999999999999,1024.5800000000002,9.3,139.6,24.8,0.7000000000000001,,71,15703.02,,2026-03-01 12:23:40,2026-03-01,-12.4,-20.9,0.2,71,Уральский,UTC+5,1500000,Май-Сентябрь,27,Снег слабый,Домашний отдых,False,Высокий,Снег
Екатеринбург,2026-03-02,56.8389,60.6057,-14.66,-18.84,79.97999999999999,1018.2,3.2399999999999998,57.4,10.3,2.9,,71,14436.34,,2026-03-01 12:23:40,2026-03-02,-11.5,-17.0,0.7,71,Уральский,UTC+5,1500000,Май-Сентябрь,41,Снег слабый,Зимние виды спорта,False,Высокий,Снег
Екатеринбург,2026-03-03,56.8389,60.6057,-15.5,-20.6,80.7,1018.1,9.0,89.0,23.6,25.5,,71,2081.7,,2026-03-01 12:23:40,2026-03-03,-14.6,-16.9,5.1,71,Уральский,UTC+5,1500000,Май-Сентябрь,29,Снег слабый,Музеи и закрытые развлечения,False,Высокий,Снег
Екатеринбург,2026-03-04,56.8389,60.6057,-17.4,-22.5,76.3,1015.7,8.6,35.0,23.0,17.0,,71,3589.2,,2026-03-01 12:23:40,2026-03-04,-15.8,-18.8,3.4,71,Уральский,UTC+5,1500000,Май-Сентябрь,30,Снег слабый,Музеи и закрытые развлечения,False,Высокий,Снег
Екатеринбург,2026-03-05,56.8389,60.6057,-19.3,-24.1,73.6,1018.5,6.0,3.0,16.6,3.0,,71,21992.5,,2026-03-01 12:23:40,2026-03-05,-17.3,-21.0,0.6,71,Уральский,UTC+5,1500000,Май-Сентябрь,36,Снег слабый,Домашний отдых,False,Высокий,Снег
Екатеринбург,2026-03-06,56.8389,60.6057,-16.9,-21.8,80.5,1016.7,7.2,107.0,17.7,9.0,,71,5158.639999999999,,2026-03-01 12:23:40,2026-03-06,-11.0,-22.3,1.8,71,Уральский,UTC+5,1500000,Май-Сентябрь,31,Снег слабый,Музеи и закрытые развлечения,False,Высокий,Снег
Екатеринбург,2026-03-07,56.8389,60.6057,-12.2,-17.2,82.2,1011.4,9.8,29.0,23.8,16.5,,73,14954.86,,2026-03-01 12:23:40,2026-03-07,-10.3,-14.9,3.3,73,Уральский,UTC+5,1500000,Май-Сентябрь,30,Снег умеренный,Музеи и закрытые развлечения,False,Высокий,Снег
Екатеринбург,2026-03-08,56.8389,60.6057,-11.7,-17.9,82.6,1016.6,18.5,19.0,47.0,48.0,,71,20258.0,,2026-03-01 12:23:40,2026-03-08,-4.1,-16.3,9.6,71,Уральский,UTC+5,1500000,Май-Сентябрь,30,Снег слабый,Музеи и закрытые развлечения,False,Высокий,Снег
